Target,Accessions,Compounds
Glutamate receptor AMPA 1/2,P42262|P42261,12
MUS81-ECE1,P42892|Q96NY9,12
Carnitine O-acetyltransferase,P43155,12
Glutamine--tRNA ligase,P47897,12
Methyl-CpG-binding protein 2,P51608,12
ATP-sensitive inward rectifier potassium channel 10,P78508,12
von Hippel-Lindau disease tumor suppressor/Dual specificity mitogen-activated protein kinase kinase 1,Q02750|P40337,12
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase BTK,Q06187|P40337,12
Sodium-dependent phosphate transporter 2,Q08357,12
"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",Q11201,12
Sequestosome-1,Q13501,12
Prostaglandin E synthase 3,Q15185,12
Chitinase-3-like protein 2,Q15782,12
von Hippel-Lindau disease tumor suppressor/Elongin-C/Elongin-B/HIF1A,Q16665|P40337|Q15370|Q15369,12
Dual specificity protein phosphatase 5,Q16690,12
Acyl-CoA wax alcohol acyltransferase 1,Q58HT5,12
L-xylulose reductase,Q7Z4W1,12
N-alpha-acetyltransferase 40,Q86UY6,12
Sodium-dependent phosphate transport protein 2C,Q8N130,12
Phosphatidylinositol 4-kinase type 2-beta,Q8TCG2,12
Sodium-dependent phosphate transporter 1,Q8WUM9,12
"Methionine--tRNA ligase, mitochondrial",Q96GW9,12
Splicing factor 45,Q96I25,12
Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,Q96IV0,12
Voltage-gated potassium channel KCNC2,Q96PR1,12
Serine/threonine-protein kinase LMTK3,Q96Q04,12
Myocilin,Q99972,12
Disintegrin and metalloproteinase domain-containing protein 33,Q9BZ11,12
Histone-lysine N-methyltransferase EHMT1/EHMT2,Q9H9B1|Q96KQ7,12
RNA polymerase II subunit A C-terminal domain phosphatase SSU72,Q9NP77,12
A-type voltage-gated potassium channel KCND2,Q9NZV8,12
Appetite-regulating hormone,Q9UBU3,12
Histone-lysine N-methyltransferase SETD1B,Q9UPS6,12
Axin-2,Q9Y2T1,12
Protein cereblon/Aurora kinase A,O14965|Q96SW2,13
LC3-B-PDEdelta,O43924|Q9GZQ8,13
Kelch-like protein 41,O60662,13
Serine/threonine-protein kinase PAK 1/PAK 2/PAK 3,O75914|Q13177|Q13153,13
Kelch-like protein 2,O95198,13
Superoxide dismutase 1/2,P00441|P04179,13
Coagulation factor IX/VIII,P00740|P00451,13
Complement C5,P01031,13
Mitochondrial complex I (NADH dehydrogenase),P03923|O95299|O00217|P03901|P56556|P03886|O95139|O00483|Q86Y39|P17568|P03891|O75306|P03915|P51970|O43674|P03905|P03897|O14561|O15239|O43181|O43676|O43677|O43678|O43920|O75251|O75380|O75438|O75489|O95167|O95168|O95169|O95178|O95182|O95298|O96000|P19404|P28331|P49821|P56181|Q16718|Q16795|Q8N183|Q9BU61|Q9NRX3|Q9NX14|Q9P032|Q9P0J0|Q9UI09|Q9Y375|Q9Y6M9,13
Protein cereblon/Eukaryotic translation initiation factor 4E,P06730|Q96SW2,13
CD63 antigen,P08962,13
Protein Wnt-2,P09544,13
von Hippel-Lindau disease tumor suppressor/Aromatase,P11511|P40337,13
Elongation factor 2,P13639,13
D(2) dopamine receptor/Metabotropic glutamate receptor 5,P14416|P41594,13
von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase B-raf,P15056|P40337,13
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein phosphatase non-receptor type 2,P17706|P40337,13
Tyrosine aminotransferase,P17735,13
Integrin alpha-5/Neuronal acetylcholine receptor subunit alpha-3/Neuronal acetylcholine receptor subunit beta-2/Neuronal acetylcholine receptor subunit beta-4,P17787|P30926|P32297|P08648,13
CCN family member 2,P29279,13
D-dopachrome decarboxylase,P30046,13
cAMP-dependent protein kinase type I-beta regulatory subunit,P31321,13
cAMP-dependent protein kinase type II-beta regulatory subunit,P31323,13
Protein cereblon/Signal transducer and activator of transcription 1-alpha/beta,P42224|Q96SW2,13
Neutral amino acid transporter A,P43007,13
G protein-activated inward rectifier potassium channel 2,P48051,13
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform/gamma isoform",P48736|O00329,13
NEDD8/NEDD8-conjugating enzyme Ubc12,P61081|Q15843,13
C-C motif chemokine 7,P80098,13
Cullin-1,Q13616,13
Pachytene checkpoint protein 2 homolog,Q15645,13
"Adrenomedullin receptor, AM2; CALCRL/RAMP3",Q16602|O60896,13
Protein cereblon/Cytochrome P450 1B1,Q16678|Q96SW2,13
Kelch-like protein 40,Q2TBA0,13
Kelch repeat and BTB domain-containing protein 12,Q3ZCT8,13
DDB1- and CUL4-associated factor 15,Q66K64,13
Kelch-like protein 17,Q6TDP4,13
Kelch-like protein 7,Q8IXQ5,13
Protein mono-ADP-ribosyltransferase PARP9,Q8IXQ6,13
Kelch repeat and BTB domain-containing protein 8,Q8NFY9,13
Kelch domain-containing protein 4,Q8TBB5,13
Interleukin-17F,Q96PD4,13
Protein cereblon/Tribbles homolog 2,Q96SW2|Q92519,13
Protein cereblon/E3 ubiquitin-protein ligase RING2,Q96SW2|Q99496,13
Protein lin-28 homolog A,Q9H9Z2,13
Arsenite methyltransferase,Q9HBK9,13
Ubiquitin-conjugating enzyme E2 T,Q9NPD8,13
Kelch-like protein 11,Q9NVR0,13
Taste receptor type 2 member 10,Q9NYW0,13
Taste receptor type 2 member 1,Q9NYW7,13
Kelch-like protein 14,Q9P2G3,13
Sodium channel protein type 11 subunit alpha,Q9UI33,13
Kelch-like protein 21,Q9UJP4,13
von Hippel-Lindau disease tumor suppressor/ALK tyrosine kinase receptor/Nucleophosmin,Q9UM73|P06748|P40337,13
E3 ubiquitin-protein ligase CHIP,Q9UNE7,13
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9,Q9Y231,13
Ubiquitin carboxyl-terminal hydrolase 20,Q9Y2K6,13
Protein cereblon/Dual specificity tyrosine-phosphorylation-regulated kinase 1B,Q9Y463|Q96SW2,13
Transient receptor potential cation channel subfamily V member 2,Q9Y5S1,13
Protein cereblon/Nuclear receptor coactivator 3,Q9Y6Q9|Q96SW2,13
Putative phosphatidylinositol 4-kinase alpha-like protein P2,A4QPH2,14
Protein phosphatase 1G,O15355,14
DCAF11-BRD4,O60885|Q8TEB1,14
ATP-binding cassette sub-family C member 6,O95255,14
Neurotensin receptor,O95665|P30989,14
Tyrosine 3-monooxygenase,P07101,14
Trypsin-2,P07478,14
Extracellular superoxide dismutase [Cu-Zn],P08294,14
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 4,P11802|P40337,14
Interleukin-1 receptor type 1,P14778,14
Cyclin-A2,P20248,14
Cofilin-1,P23528,14
Stromelysin-3,P24347,14
GABA-C receptor,P28476|A8MPY1|P24046,14
Cellular retinoic acid-binding protein 1,P29762,14
Aquaporin-1,P29972,14
Vascular endothelial growth factor receptor 2 and tyrosine-protein kinase TIE-2 (KDR and TIE2),P35968|Q02763,14
Protein cereblon/Dual specificity mitogen-activated protein kinase kinase 1/Dual specificity mitogen-activated protein kinase kinase 2,P36507|Q02750|Q96SW2,14
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,P39656,14
Lysophosphatidic acid receptor 6,P43657,14
Gamma-aminobutyric acid receptor subunit beta-1/beta-2,P47870|P18505,14
Kir3.2/Kir3.3,P48051|Q92806,14
Gamma-aminobutyric acid receptor subunit alpha-4,P48169,14
AMP-activated protein kinase alpha-2/beta-2/gamma-2,P54646|O43741|Q9UGJ0,14
AMP-activated protein kinase alpha-2/beta-1/gamma-3,P54646|Q9Y478|Q9UGI9,14
mTOR/FKBP12A/FKBP12B,P62942|P68106|P42345,14
Melanin-concentrating hormone receptor 2/HERG,Q12809|Q969V1,14
Ubiquitin carboxyl-terminal hydrolase 4,Q13107,14
Protein cereblon/Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Q13627|Q96SW2,14
Interleukin-11 receptor subunit alpha,Q14626,14
von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 3,Q15059|P40337,14
Kynureninase,Q16719,14
Receptor-type tyrosine-protein phosphatase O,Q16827,14
Kelch-like protein 12,Q53G59,14
Very-long-chain 3-oxoacyl-CoA reductase,Q53GQ0,14
Secretory phospholipase A2,Q5R387|Q9NZK7|P14555|Q9BZM2|Q9UNK4|P39877|O15496|P04054|Q9NZ20|Q9BZM1|Q9BX93,14
DNA cross-link repair 1A protein,Q6PJP8,14
Organic anion transporter 7,Q8IVM8,14
Protein cereblon/F-box-like/WD repeat-containing protein TBL1X,Q96SW2|O60907,14
Proteasome subunit beta type-7,Q99436,14
Protein phosphatase EYA3,Q99504,14
Dual specificity protein phosphatase 26,Q9BV47,14
STE20-related kinase adapter protein beta,Q9C0K7,14
LanC-like protein 2,Q9NS86,14
Histone-lysine N-methyltransferase 2B,Q9UMN6,14
Epididymis-specific alpha-mannosidase,Q9Y2E5,14
Kelch-like protein 20,Q9Y2M5,14
TNF receptor-associated factor 6,Q9Y4K3,14
Calpain-9,O14815,15
Microtubule-associated serine/threonine-protein kinase 4,O15021,15
AMP-activated protein kinase alpha-1/beta-2/gamma-3,O43741|Q13131|Q9UGI9,15
Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,O60566,15
Protein cereblon/Hematopoietic prostaglandin D synthase,O60760|Q96SW2,15
DDB1- and CUL4-associated factor 16/Bromodomain-containing protein 4,O60885|Q9NXF7,15
von Hippel-Lindau disease tumor suppressor/Lysine-specific demethylase 4A,O75164|P40337,15
Carbonyl reductase [NADPH] 3,O75828,15
von Hippel-Lindau disease tumor suppressor/L-lactate dehydrogenase A chain,P00338|P40337,15
Collagen alpha-1(II) chain,P02458,15
Nicotinic acetylcholine receptor alpha-1/beta-1,P02708|P11230,15
Nicotinic acetylcholine receptor alpha2/beta2,P02708|P17787,15
CREB-binding protein/Histone acetyltransferase p300/Cellular tumor antigen p53,P04637|Q09472|Q92793,15
PML-RARalpha,P10276|P29590,15
Uroporphyrinogen-III synthase,P10746,15
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,P14060,15
"Neuronal acetylcholine receptors; alpha-3/beta-4, alpha-5, beta-2",P17787|P30926|P32297|P30532,15
Atrial natriuretic peptide receptor 2,P20594,15
Interleukin-11,P20809,15
"Alpha-(1,3)-fucosyltransferase 4",P22083,15
Aryl hydrocarbon receptor nuclear translocator,P27540,15
5-HT1A/5-HT1F,P30939|P08908,15
5-HT1B/5-HT1F,P30939|P28222,15
Ribonucleoside-diphosphate reductase subunit M2,P31350,15
Alpha-L-iduronidase,P35475,15
VEGF-receptor 2 and Fibroblast growth factor receptor 2,P35968|P21802,15
Protein cereblon/von Hippel-Lindau disease tumor suppressor,P40337|Q96SW2,15
DNA-binding protein inhibitor ID-1,P41134,15
GMP synthase [glutamine-hydrolyzing],P49915,15
Ubiquitin carboxyl-terminal hydrolase 11,P51784,15
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6,P51993,15
Protein FosB,P53539,15
Protein fosB/Transcription factor jun-D,P53539|P17535,15
HSPA2/STIP1,P54652|P31948,15
Mothers against decapentaplegic homolog 2/homolog 3,P84022|Q15796,15
Bcl-xL/BH3-interacting domain death agonist,Q07817|P55957,15
RNA cytosine C(5)-methyltransferase NSUN2,Q08J23,15
Acyl-CoA wax alcohol acyltransferase 2,Q6E213,15
Heat shock protein 105 kDa,Q92598,15
Protein cereblon/Histone deacetylase 2,Q92769|Q96SW2,15
Solute carrier organic anion transporter family member 2A1,Q92959,15
Lysyl oxidase homolog 4,Q96JB6,15
DGAT1 protein,Q9BRH5,15
Group IIF secretory phospholipase A2,Q9BZM2,15
Aminopeptidase B,Q9H4A4,15
Kelch-like protein 3,Q9UH77,15
Solute carrier organic anion transporter family member 3A1,Q9UIG8,15
Guanine deaminase,Q9Y2T3,15
Ceramide transfer protein,Q9Y5P4,15
GDNF family receptor alpha-2,O00451,16
GDNF family receptor alpha-3,O60609,16
Ribonuclease H1,O60930,16
Lysine-specific demethylase PHF2,O75151,16
NADH-ubiquinone oxidoreductase chain 4,P03905,16
Thyroxine-binding globulin,P05543,16
Pleckstrin,P08567,16
Retinoic acid receptor RXR-alpha/Vitamin D3 receptor,P11473|P19793,16
von Hippel-Lindau disease tumor suppressor/Steroid hormone receptor ERR1,P11474|P40337,16
Cyclin-dependent kinase 2 and 4 (CDK2 and CDK4),P11802|P24941,16
Midkine,P21741,16
Insulin-like growth factor-binding protein 5,P24593,16
5-HT1D/5-HT1F,P30939|P28221,16
GAR transformylase/AICAR transformylase,P31939|P22102,16
Protein cereblon/Dual specificity protein kinase TTK,P33981|Q96SW2,16
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform/[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",P42336|Q15118,16
PI4KA/PI4KAP2,P42356|A4QPH2,16
Gamma-aminobutyric acid receptor subunit alpha-4/beta-2/gamma-2,P47870|P18507|P48169,16
MMP-2/MMP-14,P50281|P08253,16
von Hippel-Lindau disease tumor suppressor/Cyclin-dependent kinase 7,P50613|P40337,16
Protein cereblon/Cyclin-dependent kinase 7,P50613|Q96SW2,16
DNA polymerase subunit gamma-1/gamma-2,P54098|Q9UHN1,16
Voltage-dependent L-type calcium channel subunit beta-3,P54284,16
AMPK alpha1/alpha2,P54646|Q13131,16
GDNF family receptor alpha-1,P56159,16
Protein cereblon/Bcl-2-like protein 1/E3 ubiquitin-protein ligase XIAP,P98170|Q07817,16
"Glutamate receptor ionotropic, NMDA 1/2C/3B",Q05586|O60391|Q14957,16
Protein cereblon/Tyrosine-protein phosphatase non-receptor type 11,Q06124|Q96SW2,16
Protein cereblon/Serine/threonine-protein kinase PAK 1,Q13153|Q96SW2,16
Cullin-4B,Q13620,16
Mothers against decapentaplegic homolog 2,Q15796,16
Proprotein convertase subtilisin/kexin type 5,Q92824,16
von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase EHMT2,Q96KQ7|P40337,16
ADP-ribose glycohydrolase MACROD1,Q9BQ69,16
Fermitin family homolog 1,Q9BQL6,16
Dual specificity protein phosphatase 23,Q9BVJ7,16
Group XIIA secretory phospholipase A2,Q9BZM1,16
Solute carrier family 12 member 5,Q9H2X9,16
von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase EHMT1,Q9H9B1|P40337,16
Cytochrome P450 4F12,Q9HCS2,16
YEATS domain-containing protein 2,Q9ULM3,16
CCR4-NOT transcription complex subunit 6,Q9ULM6,16
Syntenin-1,O00560,17
Inhibitor of NF-kappa-B kinase alpha/beta,O14920|O15111,17
Serine palmitoyltransferase 2,O15270,17
CDK9/Cyclin T,O60563|P50750|O60583,17
Low-density lipoprotein receptor-related protein 6,O75581,17
"3',5'-cyclic phosphodiesterase",O76074|P27815|Q14432|Q13956|P18545|O00408|Q13946|P54750|O76083|P35913|Q08499|Q07343|O43924|P16499|Q13370|P51160|O95263|Q9Y233|Q01064|Q08493|Q14123|O60658|Q9NP56,17
RAS guanyl-releasing protein 1,O95267,17
PAC1-PAC2 complex,O95456|Q969U7,17
Natriuretic peptides A,P01160,17
Protein cereblon/Tyrosine-protein kinase Lck,P06239|Q96SW2,17
Eukaryotic translation initiation factor 4E/Eukaryotic translation initiation factor 4E-binding protein 1,P06730|Q13541,17
Zinc finger protein GLI2,P10070,17
Cation-independent mannose-6-phosphate receptor,P11717,17
Antigen-presenting glycoprotein CD1d,P15813,17
Receptor-type tyrosine-protein phosphatase zeta,P23471,17
5-hydroxytryptamine receptor 2A/Metabotropic glutamate receptor 2,P28223|Q14416,17
14-3-3 protein sigma,P31947,17
"Phosphatidylinositol 3-kinase regulatory subunit beta/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",P42338|O00459,17
Secretin receptor,P47872,17
Voltage-gated potassium channel KCNC1,P48547,17
Protein cereblon/SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2,P51531|Q96SW2,17
Importin subunit alpha-1,P52292,17
von Hippel-Lindau disease tumor suppressor/E3 ubiquitin-protein ligase XIAP,P98170|P40337,17
von Hippel-Lindau disease tumor suppressor/IAP,P98170|Q13489|Q13490|P40337,17
Runt-related transcription factor 1,Q01196,17
Dihydropyrimidine dehydrogenase [NADP(+)],Q12882,17
von Hippel-Lindau disease tumor suppressor/Baculoviral IAP repeat-containing protein 3,Q13489|P40337,17
von Hippel-Lindau disease tumor suppressor/Baculoviral IAP repeat-containing protein 2,Q13490|P40337,17
Protein cereblon/Histone deacetylase 1,Q13547|Q96SW2,17
Inositol polyphosphate-5-phosphatase A,Q14642,17
Bromodomain and WD repeat-containing protein 3,Q6RI45,17
Sphingosine-1-phosphate transporter SPNS2,Q8IVW8,17
PHD finger protein 6,Q8IWS0,17
Fibrinogen C domain-containing protein 1,Q8N539,17
"von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase, H3 lysine-79 specific",Q8TEK3|P40337,17
ATR-interacting protein/DNA topoisomerase 2-binding protein 1/Dual specificity protein kinase CLK2/Serine/threonine-protein kinase ATR,Q92547|P49760|Q13535|Q8WXE1,17
Protein Aster-A,Q96CP6,17
Kinesin-like protein KIF2C,Q99661,17
Tryptase gamma,Q9NRR2,17
Short transient receptor potential channel 4,Q9UBN4,17
Sodium/hydrogen exchanger 2,Q9UBY0,17
AMPK alpha1/beta1/gamma2,Q9UGJ0|Q9Y478|Q13131,17
ADP-sugar pyrophosphatase,Q9UKK9,17
Kallikrein-13,Q9UKR3,17
Suppressor of fused homolog,Q9UMX1,17
Ubiquitin-like modifier-activating enzyme 6,A0AVT1,18
SMN2 pre-mRNA,ENSG00000205571,18
"von Hippel-Lindau disease tumor suppressor/Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",O00329|P40337,18
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",O00469,18
"Serine protease HTRA2, mitochondrial",O43464,18
Potassium voltage-gated channel subfamily KQT member 3,O43525,18
Acyl-protein thioesterase 1,O75608,18
Acyl-protein thioesterase 2,O95372,18
Protein-glutamine gamma-glutamyltransferase 6,O95932,18
Serum amyloid P-component,P02743,18
Alpha-enolase,P06733,18
BCL2/BID,P10415|P55957,18
cAMP-dependent protein kinase type I-alpha regulatory subunit,P10644,18
Coagulation factor V,P12259,18
Ezrin,P15311,18
Protein cereblon/Tyrosine-protein kinase receptor UFO,P30530|Q96SW2,18
14-3-3 protein beta/alpha,P31946,18
von Hippel-Lindau disease tumor suppressor/Phospholipid hydroperoxide glutathione peroxidase GPX4,P40337|P36969,18
Granzyme K,P49863,18
Casein kinase I isoform alpha/subunit beta,P67870|P48729,18
Hemoglobin subunit alpha,P69905,18
Protein cereblon/Cyclin-dependent kinase 5,Q00535|Q96SW2,18
Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1)/RNA-binding protein EWS,Q01844|Q01543,18
LC3/Epithelial discoidin domain-containing receptor 1,Q08345|Q9BXW4|Q9GZQ8|Q9H492,18
Serine/threonine-protein kinase PAK 1/PAK 2,Q13177|Q13153,18
Tubulin beta-3 chain,Q13509,18
Programmed cell death protein 1,Q15116,18
Nuclear receptor subfamily 0 group B member 2,Q15466,18
von Hippel-Lindau disease tumor suppressor/Cytochrome P450 1B1,Q16678|P40337,18
Potassium channel subfamily T member 2,Q6UVM3,18
ATP-dependent RNA helicase DHX29,Q7Z478,18
Activin receptor type-1C,Q8NER5,18
Inositol polyphosphate multikinase,Q8NFU5,18
DNA topoisomerase 2-binding protein 1,Q92547,18
ERO1-like protein alpha,Q96HE7,18
ATP-binding cassette sub-family C member 11,Q96J66,18
Testis-specific serine/threonine-protein kinase 6,Q9BXA6,18
Nuclear body protein SP140-like protein,Q9H930,18
Homeobox protein NANOG,Q9H9S0,18
Protein cereblon/Serine/threonine-protein kinase TBK1,Q9UHD2|Q96SW2,18
C-type lectin domain family 4 member K,Q9UJ71,18
Toll-like receptor 4/MD-2,O00206|Q9Y6Y9,19
Histone-lysine N-methyltransferase 2D,O14686,19
"Protein cereblon/Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",O43924|Q96SW2,19
Dickkopf-related protein 1/Low-density lipoprotein receptor-related protein 6,O94907|O75581,19
Phosphodiesterase 8,O95263|O60658,19
Coagulation factor V/Coagulation factor X/Serine/threonine-protein kinase BRSK2,P00742|P12259|Q8IWQ3,19
Nicotinic acetylcholine receptor alpha2/beta4,P02708|P30926,19
Alpha-1-acid glycoprotein 1,P02763,19
Integrin alpha-8/beta-1,P05556|P53708,19
Small ribosomal subunit protein uS2,P08865,19
"60 kDa heat shock protein, mitochondrial",P10809,19
VEGA-NRP1,P15692|O14786,19
Spermidine synthase,P19623,19
Cytochrome P450 3A7,P24462,19
Protein cereblon/Bromodomain-containing protein 2/Cullin-4A,P25440|Q96SW2|Q13619,19
Protein cereblon/Bifunctional epoxide hydrolase 2,P34913|Q96SW2,19
BCoR-BCL6,P41182|Q6W2J9,19
Protein cereblon/Signal transducer and activator of transcription 6,P42226|Q96SW2,19
"3-hydroxyanthranilate 3,4-dioxygenase",P46952,19
"Succinate-semialdehyde dehydrogenase, mitochondrial",P51649,19
LIM domain kinase 1/2,P53671|P53667,19
Elongation factor 1-alpha 1,P68104,19
Beclin-1,Q14457,19
Protein cereblon/Bromodomain-containing protein 3/Cullin-4A,Q15059|Q96SW2|Q13619,19
Splicing factor 3B subunit 3,Q15393,19
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",Q16877,19
Cyclin-dependent kinase-like 4,Q5MAI5,19
Microtubule-associated protein 1 light chain 3 beta/Proprotein convertase subtilisin/kexin type 9,Q8NBP7|Q9GZQ8,19
"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5,19
von Hippel-Lindau disease tumor suppressor/Ubiquitin carboxyl-terminal hydrolase 7,Q93009|P40337,19
Cytohesin-2,Q99418,19
Translin-associated protein X,Q99598,19
P2Y purinoceptor 13,Q9BPV8,19
Proteasome assembly chaperone 3,Q9BT73,19
Kinesin-like protein KIFC3,Q9BVG8,19
Mucolipin-1,Q9GZU1,19
Cadherin-1/Transcription factor 7-like 2,Q9NQB0|P12830,19
Group IIE secretory phospholipase A2,Q9NZK7,19
Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,Q9UBK2,19
DDB1- and CUL4-associated factor 16/Poly [ADP-ribose] polymerase 2,Q9UGN5|Q9NXF7,19
p38 delta/gamma,O15264|P53778,20
Protein-tyrosine sulfotransferase 2,O60704,20
Protein cereblon/Bromodomain-containing protein 4/Cullin-4A,O60885|Q96SW2|Q13619,20
ICOS-ICOSL,O75144|Q9Y6W8,20
Carbonic anhydrase-related protein 11,O75493,20
Chromobox protein homolog 6,O95503,20
E3 ubiquitin-protein ligase RNF149/Epidermal growth factor receptor,P00533|Q8NC42,20
Integrin alpha-2/beta-3,P05106|P17301,20
Androgen receptor/Baculoviral IAP repeat-containing protein 2,P10275|Q13490,20
Uridine 5'-monophosphate synthase,P11172,20
"Fatty acid-binding protein, intestinal",P12104,20
Bile salt-activated lipase,P19835,20
Tryptase beta-2,P20231,20
G1/S-specific cyclin-D1,P24385,20
GRIA1/CACNG8,P42261|Q8WXS5,20
Small ribosomal subunit protein eS27,P42677,20
Melanoma-associated antigen 4,P43358,20
Gamma-aminobutyric acid receptor subunit alpha-4/beta-1/delta,P48169|O14764|P18505,20
Casein kinase I isoform alpha/delta,P48730|P48729,20
Integrin alpha-1,P56199,20
FKBP12A/mTOR,P62942|P42345,20
Zinc finger and BTB domain-containing protein 16,Q05516,20
Protein cereblon/Tyrosine-protein kinase ITK/TSK,Q08881|Q96SW2,20
Chromobox protein homolog 2,Q14781,20
PAN2-PAN3 deadenylation complex subunit PAN3,Q58A45,20
L-amino-acid oxidase,Q96RQ9,20
"5-demethoxyubiquinone hydroxylase, mitochondrial",Q99807,20
ATP-binding cassette sub-family B member 6,Q9NP58,20
Dipeptidyl peptidase 3,Q9NY33,20
Solute carrier organic anion transporter family member 1C1,Q9NYB5,20
C5a anaphylatoxin chemotactic receptor 2,Q9P296,20
von Hippel-Lindau disease tumor suppressor/Protein deacetylase HDAC6,Q9UBN7|P40337,20
Tumor necrosis factor receptor superfamily member 10B,O14763,21
Xaa-Pro aminopeptidase 2,O43895,21
Integrin alpha-5,P08648,21
Sodium/potassium-transporting ATPase subunit alpha-2/beta-2,P14415|P50993,21
Protein cereblon/Tyrosinase,P14679|Q96SW2,21
Cytochrome b-c1 complex subunit 7,P14927,21
Potassium voltage-gated channel subfamily A member 6,P17658,21
Kallikrein-2,P20151,21
Alanine--glyoxylate aminotransferase,P21549,21
GABA-A receptor alpha-4/beta-3/delta,P28472|P48169|Q06278,21
Sodium/potassium-transporting ATPase subunit alpha-2/beta-3,P50993|P54709,21
Geranylgeranyl transferase type-2,P53611|Q92696,21
Ubiquitin-conjugating enzyme E2 G2,P60604,21
SUMO-conjugating enzyme UBC9,P63279,21
Platelet-activating factor acetylhydrolase IB subunit alpha2,P68402,21
E3 ubiquitin-protein ligase XIAP/Receptor-interacting serine/threonine-protein kinase 2,P98170|O43353,21
Protein cereblon/E3 ubiquitin-protein ligase XIAP,P98170|Q96SW2,21
E3 ubiquitin-protein ligase Mdm2/Protein Mdm4,Q00987|O15151,21
Voltage-gated potassium channel subfamily A member 1/beta-1,Q09470|Q14722,21
von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase PAK 1,Q13153|P40337,21
Protein cereblon/Baculoviral IAP repeat-containing protein 3,Q13489|Q96SW2,21
von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase EZH2,Q15910|P40337,21
2-hydroxyacylsphingosine 1-beta-galactosyltransferase,Q16880,21
"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3",Q5TCQ9,21
Lysine-specific demethylase 7A,Q6ZMT4,21
Mitochondrial amidoxime reducing component 2,Q969Z3,21
SPRY domain-containing SOCS box protein 2,Q99619,21
Uridine-cytidine kinase 2,Q9BZX2,21
Threonine aspartase 1,Q9H6P5,21
Inactive tyrosine-protein kinase PEAK1,Q9H792,21
Potassium channel subfamily K member 13,Q9HB14,21
YTH domain-containing family protein 2,Q9Y5A9,21
Na(+)/H(+) exchange regulatory cofactor NHE-RF1,O14745,22
Glycine receptor subunit alpha-3,O75311,22
Poly(A)-specific ribonuclease PARN,O95453,22
Microtubule-associated protein 1 light chain 3 beta/Epidermal growth factor receptor,P00533|Q9GZQ8,22
Nucleophosmin,P06748,22
Beta-hexosaminidase subunit alpha,P06865,22
Gamma-aminobutyric acid receptor subunit beta-3,P28472,22
Kinesin-1 heavy chain,P33176,22
Insulin receptor substrate 1,P35568,22
Transcription initiation factor IIA subunit 1,P52655,22
Solute carrier family 12 member 2/member 5,P55011|Q9H2X9,22
Taste receptor type 2 member 38,P59533,22
Taste receptor type 2 member 31,P59538,22
Tubulin beta-4B chain,P68371,22
Acid-sensing ion channel 1,P78348,22
14-3-3 protein eta,Q04917,22
Protein cereblon/Induced myeloid leukemia cell differentiation protein Mcl-1,Q07820|Q96SW2,22
Leukocyte surface antigen CD47,Q08722,22
Histone acetyltransferase p300/Myocyte-specific enhancer factor 2D,Q09472|Q14814,22
GRB2-associated-binding protein 1,Q13480,22
Separin,Q14674,22
Protein disulfide-isomerase A6,Q15084,22
"Alpha-(1,3)-fucosyltransferase 10",Q6P4F1,22
Testis-specific serine/threonine-protein kinase 4,Q6SA08,22
Vitamin K epoxide reductase complex subunit 1,Q9BQB6,22
"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4",Q9C0J1,22
Short transient receptor potential channel 7,Q9HCX4,22
KCNQ4/KCNQ5,Q9NR82|P56696,22
