Target,Accessions,Compounds
Proenkephalin-B,P01213,1
Interleukin-2 receptor subunit alpha,P01589,1
Polymeric immunoglobulin receptor,P01833,1
Immunoglobulin heavy constant gamma 4,P01861,1
"HLA class I histocompatibility antigen, B alpha chain",P01889,1
Hemoglobin subunit zeta,P02008,1
Myelin P2 protein,P02689,1
Alpha-2-HS-glycoprotein,P02765,1
NADH-ubiquinone oxidoreductase chain 1,P03886,1
ATP synthase F(0) complex subunit 8,P03928,1
Vitronectin,P04004,1
Protein cereblon/3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035|Q96SW2,1
14-3-3 eta/c-RAF,P04049|Q04917,1
von Hippel-Lindau disease tumor suppressor/Receptor tyrosine-protein kinase erbB-2,P04626|P40337,1
FASN/HER2,P04626|P49327,1
Calpain small subunit 1,P04632,1
Bromodomain-containing protein 4/Cellular tumor antigen p53,P04637|O60885,1
Cellular tumor antigen p53/Replication protein A 70 kDa DNA-binding subunit,P04637|P27694,1
von Hippel-Lindau disease tumor suppressor/Cytochrome P450 1A1,P04798|P40337,1
Insulin-like growth factor 1,P05019,1
Integrin beta-3,P05106,1
Integrin beta-2,P05107,1
"Cholesterol side-chain cleavage enzyme, mitochondrial",P05108,1
Protein S100-A8,P05109,1
Inhibin alpha chain,P05111,1
Interleukin-4,P05112,1
Integrin alpha-10/Integrin beta-1,P05556|O75578,1
ITGA6-ITGB1 complex,P05556|P23229,1
