Target,Accessions
Polypeptide N-acetylgalactosaminyltransferase 14,Q96FL9
Actin-related protein 5,Q9H9F9
Peptidyl-prolyl cis-trans isomerase-like 4,Q8WUA2
Probable ATP-dependent RNA helicase DHX40,Q8IX18
H/ACA ribonucleoprotein complex subunit 2,Q9NX24
WD40 repeat-containing protein SMU1,Q2TAY7
WD repeat-containing protein 26,Q9H7D7
Leucine-rich repeat and WD repeat-containing protein 1,Q9UFC0
Cobalamin trafficking protein CblD,Q9H3L0
Epithelial splicing regulatory protein 1,Q6NXG1
Mini-chromosome maintenance complex-binding protein,Q9BTE3
Cytoplasmic FMR1-interacting protein 2,Q96F07
Transcription and mRNA export factor ENY2,Q9NPA8
Cyclin-L2,Q96S94
COP9 signalosome complex subunit 4,Q9BT78
Xaa-Arg dipeptidase,Q8IYS1
Integrin beta-5,P18084
Cytochrome c oxidase subunit 4 isoform 1, mitochondrial,P13073
Triokinase/FMN cyclase,Q3LXA3
Insulin-like growth factor 2 mRNA-binding protein 3,O00425
Histone-lysine N-methyltransferase Suv4-20,Q86Y97|Q4FZB7
Protein 4.1,P11171
Eukaryotic peptide chain release factor subunit 1,P62495
FAST kinase domain-containing protein 1, mitochondrial,Q53R41
TELO2-interacting protein 2,Q6NXR4
Ubiquitin-protein ligase E3A,Q05086
Nuclear cap-binding protein subunit 2,P52298
Nucleolar protein 58,Q9Y2X3
DNA polymerase delta subunit 3,Q15054
Protein SCO2 homolog, mitochondrial,O43819
Septin-2,Q15019
Aflatoxin B1 aldehyde reductase member 2,O43488
Protein Shroom3,Q8TF72
Anaphase-promoting complex subunit 7,Q9UJX3
Ankyrin repeat domain-containing protein 54,Q6NXT1
Choline transporter-like protein 1,Q8WWI5
Kunitz-type protease inhibitor 2,O43291
BRI3-binding protein,Q8WY22
DNA-directed RNA polymerase I subunit RPA34,O15446
Phosphatidate cytidylyltransferase 2,O95674
Syntaxin-18,Q9P2W9
TATA-binding protein-associated factor 2N,Q92804
Protein S100-A8,P05109
Cleavage and polyadenylation specificity factor subunit 4,O95639
Transcription factor 12,Q99081
Mitochondrial import inner membrane translocase subunit Tim13,Q9Y5L4
Transmembrane protein 41B,Q5BJD5
Tensin-4,Q8IZW8
Glucosamine-6-phosphate deaminase 1,P46926
Golgin subfamily A member 2,Q08379
G-patch domain and KOW motifs-containing protein,Q92917
Integral membrane protein GPR180,Q86V85
Transcription initiation factor IIE subunit beta,P29084
CMP-sialic acid transporter,P78382
Sodium/potassium-transporting ATPase subunit beta-3,P54709
Interferon-induced helicase C domain-containing protein 1,Q9BYX4
General transcription factor IIF subunit 1,P35269
Isochorismatase domain-containing protein 1,Q96CN7
Histone deacetylase complex subunit SAP18,O00422
DNA-directed RNA polymerases I, II, and III subunit RPABC1,P19388
mRNA export factor RAE1,P78406
STE20-like serine/threonine-protein kinase/Serine/threonine-protein kinase 10,O94804|Q9H2G2
Glycine receptor subunit alpha-2/beta,P23416|P48167
Polypeptide N-acetylgalactosaminyltransferase 6,Q8NCL4
Dynein axonemal heavy chain 12,Q6ZR08
DnaJ homolog subfamily B member 12,Q9NXW2
Eukaryotic translation initiation factor 4 gamma 2,P78344
Regulator of G-protein signaling 16,O15492
Mitochondrial fission 1 protein,Q9Y3D6
PWWP domain-containing protein 2B,Q6NUJ5
Profilin-2,P35080
Zinc finger protein with KRAB and SCAN domains 2,Q63HK3
Mothers against decapentaplegic homolog 4,Q13485
LIM domain and actin-binding protein 1,Q9UHB6
Integrator complex subunit 6,Q9UL03
AF4/FMR2 family member 2,P51816
