Target,Accessions
Chromobox protein homolog 2,Q14781
ATP-binding cassette sub-family B member 6,Q9NP58
ICOS-ICOSL,O75144|Q9Y6W8
Integrin alpha-2/beta-3,P05106|P17301
Zinc finger and BTB domain-containing protein 16,Q05516
Protein-tyrosine sulfotransferase 2,O60704
FKBP12A/mTOR,P62942|P42345
Carbonic anhydrase-related protein 11,O75493
Chromobox protein homolog 6,O95503
Androgen receptor/Baculoviral IAP repeat-containing protein 2,P10275|Q13490
C5a anaphylatoxin chemotactic receptor 2,Q9P296
Integrin alpha-1,P56199
PAN2-PAN3 deadenylation complex subunit PAN3,Q58A45
p38 delta/gamma,O15264|P53778
E3 ubiquitin-protein ligase RNF149/Epidermal growth factor receptor,P00533|Q8NC42
von Hippel-Lindau disease tumor suppressor/Protein deacetylase HDAC6,Q9UBN7|P40337
5-demethoxyubiquinone hydroxylase, mitochondrial,Q99807
Dipeptidyl peptidase 3,Q9NY33
Small ribosomal subunit protein eS27,P42677
Fatty acid-binding protein, intestinal,P12104
Solute carrier organic anion transporter family member 1C1,Q9NYB5
Protein cereblon/Bromodomain-containing protein 4/Cullin-4A,O60885|Q96SW2|Q13619
Casein kinase I isoform alpha/delta,P48730|P48729
GRIA1/CACNG8,P42261|Q8WXS5
Tryptase beta-2,P20231
Bile salt-activated lipase,P19835
Gamma-aminobutyric acid receptor subunit alpha-4/beta-1/delta,P48169|O14764|P18505
Protein cereblon/Tyrosine-protein kinase ITK/TSK,Q08881|Q96SW2
Melanoma-associated antigen 4,P43358
G1/S-specific cyclin-D1,P24385
L-amino-acid oxidase,Q96RQ9
Uridine 5'-monophosphate synthase,P11172
von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase PAK 1,Q13153|P40337
Geranylgeranyl transferase type-2,P53611|Q92696
Ubiquitin-conjugating enzyme E2 G2,P60604
Mitochondrial amidoxime reducing component 2,Q969Z3
E3 ubiquitin-protein ligase Mdm2/Protein Mdm4,Q00987|O15151
Inactive tyrosine-protein kinase PEAK1,Q9H792
Xaa-Pro aminopeptidase 2,O43895
GABA-A receptor alpha-4/beta-3/delta,P28472|P48169|Q06278
Protein cereblon/Tyrosinase,P14679|Q96SW2
Alanine--glyoxylate aminotransferase,P21549
SPRY domain-containing SOCS box protein 2,Q99619
von Hippel-Lindau disease tumor suppressor/Histone-lysine N-methyltransferase EZH2,Q15910|P40337
Protein cereblon/E3 ubiquitin-protein ligase XIAP,P98170|Q96SW2
Platelet-activating factor acetylhydrolase IB subunit alpha2,P68402
Cytochrome b-c1 complex subunit 7,P14927
Voltage-gated potassium channel subfamily A member 1/beta-1,Q09470|Q14722
Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3,Q5TCQ9
Uridine-cytidine kinase 2,Q9BZX2
Kallikrein-2,P20151
Lysine-specific demethylase 7A,Q6ZMT4
Potassium voltage-gated channel subfamily A member 6,P17658
2-hydroxyacylsphingosine 1-beta-galactosyltransferase,Q16880
Integrin alpha-5,P08648
E3 ubiquitin-protein ligase XIAP/Receptor-interacting serine/threonine-protein kinase 2,P98170|O43353
Sodium/potassium-transporting ATPase subunit alpha-2/beta-3,P50993|P54709
Sodium/potassium-transporting ATPase subunit alpha-2/beta-2,P14415|P50993
Potassium channel subfamily K member 13,Q9HB14
YTH domain-containing family protein 2,Q9Y5A9
Protein cereblon/Baculoviral IAP repeat-containing protein 3,Q13489|Q96SW2
Threonine aspartase 1,Q9H6P5
SUMO-conjugating enzyme UBC9,P63279
Tumor necrosis factor receptor superfamily member 10B,O14763
Protein disulfide-isomerase A6,Q15084
Poly(A)-specific ribonuclease PARN,O95453
Testis-specific serine/threonine-protein kinase 4,Q6SA08
Tyrosine-protein kinase BAZ1B,Q9UIG0
Acid-sensing ion channel 1,P78348
Kinesin-1 heavy chain,P33176
Beta-hexosaminidase subunit alpha,P06865
Neuronal acetylcholine receptor subunit alpha-9,Q9UGM1
Matrix metalloproteinase-26,Q9NRE1
Taste receptor type 2 member 38,P59533
Taste receptor type 2 member 31,P59538
Separin,Q14674
Tubulin beta-4B chain,P68371
Glycine receptor subunit alpha-3,O75311
Histone acetyltransferase p300/Myocyte-specific enhancer factor 2D,Q09472|Q14814
Na(+)/H(+) exchange regulatory cofactor NHE-RF1,O14745
Solute carrier family 12 member 2/member 5,P55011|Q9H2X9
Alpha-(1,3)-fucosyltransferase 10,Q6P4F1
Group 3 secretory phospholipase A2,Q9NZ20
Nucleophosmin,P06748
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4,Q9C0J1
Leukocyte surface antigen CD47,Q08722
14-3-3 protein eta,Q04917
Transcription initiation factor IIA subunit 1,P52655
Vitamin K epoxide reductase complex subunit 1,Q9BQB6
GRB2-associated-binding protein 1,Q13480
KCNQ4/KCNQ5,Q9NR82|P56696
Microtubule-associated protein 1 light chain 3 beta/Epidermal growth factor receptor,P00533|Q9GZQ8
Protein cereblon/Induced myeloid leukemia cell differentiation protein Mcl-1,Q07820|Q96SW2
Insulin receptor substrate 1,P35568
Short transient receptor potential channel 7,Q9HCX4
Gamma-aminobutyric acid receptor subunit beta-3,P28472
Cytochrome c,P99999
Extracellular serine/threonine protein kinase FAM20C,Q8IXL6
All-trans-retinol dehydrogenase [NAD(+)] ADH4,P08319
Protein S100-B,P04271
E3 ubiquitin-protein ligase RNF126/Serine/threonine-protein kinase RIO2,Q9BVS4|Q9BV68
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein phosphatase non-receptor type 11,Q06124|P40337
Tribbles homolog 2,Q92519
Sodium/potassium-transporting ATPase subunit alpha-1/beta-1,P05023|P05026
ATP-dependent RNA helicase SUPV3L1, mitochondrial,Q8IYB8
Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Solute carrier family 28 member 3,Q9HAS3
GABA A receptor alpha-6/beta-2/gamma-2,P47870|P18507|Q16445
TEL/KDR,P35968|P41212
Cyclin-dependent kinase 4/6,P11802|Q00534
Nicotinate phosphoribosyltransferase,Q6XQN6
Myeloid differentiation primary response protein MyD88,Q99836
N-alpha-acetyltransferase 50,Q9GZZ1
Potassium voltage-gated channel subfamily E member 1,P15382
Protein cereblon/Histone deacetylase 3,O15379|Q96SW2
Tubulin--tyrosine ligase,Q8NG68
Segment polarity protein dishevelled homolog DVL-1,O14640
Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4),P35916|P35968
Alcohol dehydrogenase 1C,P00326
All-trans-retinol dehydrogenase [NAD(+)] ADH7,P40394
Ubiquitin-like modifier-activating enzyme 5,Q9GZZ9
von Hippel-Lindau disease tumor suppressor/1-phosphatidylinositol 3-phosphate 5-kinase,Q9Y2I7|P40337
Sodium/potassium-transporting ATPase subunit alpha-2/beta-1,P05026|P50993
Hypoxia-inducible factor prolyl hydroxylase,Q96KS0|Q9NXG6|Q9GZT9|Q9H6Z9
Group IID secretory phospholipase A2,Q9UNK4
Mitogen-activated protein kinase 14/Mitogen-activated protein kinase 1,P28482|Q16539
Putative inactive group IIC secretory phospholipase A2,Q5R387
All-trans-retinol dehydrogenase [NAD(+)] ADH1B,P00325
Solute carrier family 2, facilitated glucose transporter member 5,P22732
Ribosomal protein S6 kinase delta-1,Q96S38
Glucose-6-phosphate exchanger SLC37A4,O43826
CDK2/Cyclin O,P24941|P22674
7-dehydrocholesterol reductase,Q9UBM7
Taste receptor type 2 member 46,P59540
Mitogen-activated protein kinase 14/MAP kinase-activated protein kinase 5,Q8IW41|Q16539
Potassium voltage-gated channel subfamily A member 4,P22459
SLC16A10 protein,Q05BR4
Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase,Q09327
Adenosine receptor,P30542|P29275|P0DMS8|P29274
DNA polymerase delta catalytic subunit,P28340
Aromatic-L-amino-acid decarboxylase,P20711
Protein cereblon/Serine/threonine-protein kinase ATR,Q13535|Q96SW2
GTPase KRas/RAF1,P04049|P01116
Calcitonin gene-related peptide 2,P10092
von Hippel-Lindau disease tumor suppressor/Mitogen-activated protein kinase 7,Q13164|P40337
Adenylate cyclase type 3,O60266
Protein cereblon/Eukaryotic elongation factor 2 kinase,O00418|Q96SW2
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,P67775
Potassium channel subfamily K member 18,Q7Z418
Alcohol dehydrogenase,P07327|P08319|P00325|P00326|P40394|P11766|P28332
Chloride anion exchanger,P40879
Protein cereblon/Kinesin-like protein KIF11,P52732|Q96SW2
Protein disulfide-isomerase A3,P30101
Protein tyrosine phosphatase receptor type C-associated protein,Q14761
Protein cereblon/Non-receptor tyrosine-protein kinase TYK2,P29597|Q96SW2
Polycystin-1,P98161
Phosphoenolpyruvate carboxykinase, cytosolic [GTP],P35558
DNA damage-inducible transcript 3 protein,P35638
Hsp90 co-chaperone Cdc37,Q16543
Protein cereblon/Histone-lysine N-methyltransferase NSD2,O96028|Q96SW2
von Hippel-Lindau disease tumor suppressor/Interleukin-1 receptor-associated kinase 4,Q9NWZ3|P40337
TLR7 and TLR8,Q9NYK1|Q9NR97
Serine/threonine-protein phosphatase 2A activator,Q15257
Pirin,O00625
Small conductance calcium-activated potassium channel protein 1,Q92952
Histone acetyltransferase p300/Hypoxia-inducible factor 1-alpha,Q09472|Q16665
VEGF-receptor 2 and tyrosine-protein kinase SRC,P12931|P35968
Proprotein convertase subtilisin/kexin type 7,Q16549
HLA class II histocompatibility antigen gamma chain,P04233
High affinity immunoglobulin gamma Fc receptor I,P12314
S-phase kinase-associated protein 2,Q13309
Sodium channel alpha subunit,P35498|Q14524|P35499|Q01118|Q99250|Q15858|Q9NY46|Q9UI33|Q9UQD0|Q9Y5Y9
Frizzled-2,Q14332
Laminin subunit alpha-1,P25391
Lon protease homolog, mitochondrial,P36776
Transcription intermediary factor 1-beta,Q13263
Hydroxyproline dehydrogenase,Q9UF12
Histamine receptor (H3 and H4),Q9H3N8|Q9Y5N1
Olfactory receptor 51E2,Q9H255
Beta-1,3-galactosyltransferase 5,Q9Y2C3
HLA class II histocompatibility antigen, DR beta 3 chain,P79483
Ubiquitin-associated and SH3 domain-containing protein B,Q8TF42
Neurolysin, mitochondrial,Q9BYT8
von Hippel-Lindau disease tumor suppressor/RAC-alpha serine/threonine-protein kinase,P31749|P40337
Glycogen debranching enzyme,P35573
Solute carrier family 22 member 4,Q9H015
Solute carrier family 2, facilitated glucose transporter member 9,Q9NRM0
Growth factor receptor-bound protein 7,Q14451
fMet-Leu-Phe receptor 1/2,P21462|P25090
Forkhead box protein M1,Q08050
Serine hydrolase RBBP9,O75884
Peroxisomal membrane protein PEX16,Q9Y5Y5
Gamma-secretase subunit PEN-2,Q9NZ42
von Hippel-Lindau disease tumor suppressor/Dual specificity mitogen-activated protein kinase kinase 2/Dual specificity mitogen-activated protein kinase kinase 1,P36507|Q02750|P40337
Acylglycerol kinase, mitochondrial,Q53H12
von Hippel-Lindau disease tumor suppressor/Vascular endothelial growth factor receptor 2,P35968|P40337
GPR27-V2,P30518|Q9NS67
Protein cereblon/Tyrosine-protein phosphatase non-receptor type 2,P17706|Q96SW2
PC4 and SFRS1-interacting protein,O75475
Fermitin family homolog 2,Q96AC1
C-terminal-binding protein 2,P56545
Tumor necrosis factor receptor superfamily member 16,P08138
Retinoic acid receptor alpha/Retinoid X receptor alpha,P10276|P19793
Ribonuclease pancreatic,P07998
G-protein coupled receptor 182,O15218
Phenylalanine--tRNA ligase, mitochondrial,O95363
SCN8A/SCN1B,Q9UQD0|Q07699
Bcl-xL/Bcl-2-binding component 3,Q07817|Q9BXH1
Protein N-lysine methyltransferase METTL21D,Q9H867
WD repeat-containing protein 91,A4D1P6
Dihydropteridine reductase,P09417
Tubulin beta-5 chain,P07437
Taste receptor type 2 member 16,Q9NYV7
Synaptojanin-1,O43426
DNA repair protein REV1,Q9UBZ9
Transcriptional activator Myb,P10242
Protein cereblon/Mitogen-activated protein kinase 14,Q16539|Q96SW2
Protein cereblon/RAC-alpha serine/threonine-protein kinase,P31749|Q96SW2
Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR),P17948|P35968
Alkyldihydroxyacetonephosphate synthase, peroxisomal,O00116
Antithrombin-III,P01008
Sphingomyelin phosphodiesterase 2,O60906
Protein cereblon/Mixed lineage kinase domain-like protein,Q8NB16|Q96SW2
Caspase-10,Q92851
von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 2,P25440|P40337
STAM-binding protein,O95630
Heat shock factor protein,Q00613|Q03933|Q9ULV5
Prostasin,Q16651
Integrin alpha-5/alpha-8,P08648|P53708
Glutathione S-transferase kappa 1,Q9Y2Q3
AMPK alpha2/beta2/gamma3,P54646|O43741|Q9UGI9
Multifunctional protein CAD,P27708
Glutamate receptor ionotropic, NMDA 2D,O15399
Disintegrin and metalloproteinase domain-containing protein 8,P78325
von Hippel-Lindau disease tumor suppressor/WD repeat-containing protein 5,P61964|P40337
VEGF-receptor 2 and PDGF-receptor beta (KDR and PDGFR beta),P09619|P35968
Lactoperoxidase,P22079
Apoptosis regulator Bcl-2/Bcl-2 homologous antagonist/killer,P10415|Q16611
Protein ADM2,Q7Z4H4
Mitochondrial amidoxime-reducing component 1,Q5VT66
fructose-2,6-bisphosphatase 3/4,Q16875|Q16877
von Hippel-Lindau disease tumor suppressor/Nuclear receptor subfamily 1 group I member 2,O75469|P40337
G protein-activated inward rectifier potassium channel 4,P48544
Lactotransferrin,P02788
CDK4/CDK1,P06493|P11802
Protein cereblon/E3 ubiquitin-protein ligase Mdm2/Cellular tumor antigen p53,P04637|Q00987|Q96SW2
Platelet glycoprotein 4,P16671
Potassium voltage-gated channel subfamily A member 2,P16389
Small conductance calcium-activated potassium channel protein 2,Q9H2S1
Protein N-lysine methyltransferase METTL21A,Q8WXB1
Thrombin and urokinase-type plasminogen activator,P00734|P00749
EZH1/SUZ12/EED/AEBP2/RBBP4 complex,Q92800|O75530|Q15022|Q6ZN18|Q09028
c-Myc/c-Max,P01106|P61244
RyR1/FKBP12,P21817|P62942
Spermine oxidase,Q9NWM0
Lysyl oxidase homolog 3,P58215
Histone deacetylase 1/2/3/6,Q13547|O15379|Q9UBN7|Q92769
Pyruvate carboxylase, mitochondrial,P11498
Son of sevenless homolog 2,Q07890
5-lipoxygenase/FLAP,P09917|P20292
Retinoic acid receptor,P13631|P10826|P10276
Protein cereblon/Inactive tyrosine-protein kinase transmembrane receptor ROR1,Q96SW2|Q01973
Phosphodiesterase 2 and 5 (PDE2 and PDE5),O76074|O00408
Alcohol dehydrogenase 1A,P07327
14-3-3 protein zeta/delta,P63104
Neutral alpha-glucosidase AB,Q14697
Coagulation factor X and plasma kallikrein,P03952|P00742
Bromodomain-containing protein 8,Q9H0E9
Pantothenate kinase 1,Q8TE04
DEP domain-containing mTOR-interacting protein,Q8TB45
Alpha-mannosidase 2,Q16706
Creatine kinase M-type,P06732
Oxysterol-binding protein 2,Q969R2
Carboxypeptidase N catalytic chain,P15169
Protein cereblon/Hepatocyte growth factor receptor,P08581|Q96SW2
Kinase suppressor of Ras 1,Q8IVT5
Recombining binding protein suppressor of hairless,Q06330
von Hippel-Lindau disease tumor suppressor/Tyrosine-protein kinase ABL1/Breakpoint cluster region protein,P00519|P11274|P40337
UDP-glucuronosyltransferases (UGTs),P22310|P16662|O75795|P36537|P54855|Q9BY64|P06133|O60656|Q9HAW8|P0DTE4|P22309|P19224|Q9HAW7|Q9HAW9|P35503|P35504|Q6UWM9|O75310|P0DTE5
Acetyl-CoA acetyltransferase, mitochondrial,P24752
Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase,Q9UKM7
Protein cereblon/Heat shock protein HSP 90-alpha/Heat shock protein HSP 90-beta,P07900|P08238|Q96SW2
BCR/ABL p210 fusion protein,A1Z199
Sodium/hydrogen exchanger 5,Q14940
Baculoviral IAP repeat-containing protein 2/Baculoviral IAP repeat-containing protein 3/E3 ubiquitin-protein ligase XIAP,P98170|Q13489|Q13490
Platelet glycoprotein VI,Q9HCN6
Lymphocyte activation gene 3 protein,P18627
4-hydroxy-2-oxoglutarate aldolase, mitochondrial,Q86XE5
Amyloid beta-binding alcohol dehydrogenase,Q2L8D9
PH domain leucine-rich repeat-containing protein phosphatase 2,Q6ZVD8
Ras-related protein Rab-7a,P51149
Protein HEXIM1,O94992
Aurora kinase A/B,Q96GD4|O14965
Phosphatidylcholine transfer protein,Q9UKL6
Protein cereblon/Nicotinamide phosphoribosyltransferase,P43490|Q96SW2
Cystathionine beta-synthase,P35520
Protein cereblon/Sal-like protein 4,Q96SW2|Q9UJQ4
Islet amyloid polypeptide,P10997
Leukemia inhibitory factor receptor,P42702
Solute carrier family 22 member 7,Q9Y694
Sterol regulatory element-binding protein 2,Q12772
Neuronal acetylcholine receptor; alpha2/beta2,P17787|Q15822
Kinase suppressor of Ras 2,Q6VAB6
Ubiquitin carboxyl-terminal hydrolase 21,Q9UK80
Insulin-like growth factor 2 mRNA-binding protein 1,Q9NZI8
Asialoglycoprotein receptor 1,P07306
Chitinase-3-like protein 1,P36222
MCL1-BAK1 complex,Q07820|Q16611
Protein cereblon/Glycogen synthase kinase-3 alpha,P49840|Q96SW2
Telomeric repeat-binding factor 2-interacting protein 1,Q9NYB0
Protein cereblon/Serine/threonine-protein kinase PLK4,O00444|Q96SW2
Cyclic AMP-dependent transcription factor ATF-1,P18846
Transient receptor potential cation channel subfamily M member 7,Q96QT4
Lysosomal acid lipase/cholesteryl ester hydrolase,P38571
Protein cereblon/MAP kinase-interacting serine/threonine-protein kinase 1,Q9BUB5|Q96SW2
Tissue factor pathway inhibitor 2,P48307
von Hippel-Lindau disease tumor suppressor/Apoptosis regulator Bcl-2,P10415|P40337
Mitogen-activated protein kinase 10/Receptor-interacting serine/threonine-protein kinase 1,P53779|Q13546
von Hippel-Lindau disease tumor suppressor/Hepatocyte growth factor receptor,P08581|P40337
Synaptojanin-2,O15056
Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,P36873
Nicotinic acetylcholine receptor alpha-1/beta-1/delta/epsilon,P02708|P11230|Q07001|Q04844
Protein cereblon/AKT,P31751|Q9Y243|P31749|Q96SW2
Voltage-dependent L-type calcium channel subunit alpha-1D,Q01668
CCR4-NOT transcription complex subunit 7,Q9UIV1
Matrix metalloproteinase-17,Q9ULZ9
Polycomb complex protein BMI-1,P35226
GRIA1/CACNG2,P42261|Q9Y698
Protein tyrosine phosphatase type IVA 2,Q12974
DNMT3B-DNMT3L complex,Q9UBC3|Q9UJW3
Sclerostin,Q9BQB4
Pro-adrenomedullin,P35318
YEATS domain-containing protein 4,O95619
Protein cereblon/Tyrosine-protein kinase JAK2,O60674|Q96SW2
Kinesin-like protein KIF15,Q9NS87
Cystic fibrosis transmembrane conductance regulator/Golgi-associated PDZ and coiled-coil motif-containing protein,P13569|Q9HD26
V-type proton ATPase subunit S1,Q15904
NAD-dependent malic enzyme, mitochondrial,P23368
Triosephosphate isomerase,P60174
Transient receptor potential cation channel subfamily M member 4,Q8TD43
Lysine-specific demethylase 3B,Q7LBC6
Dual specificity protein phosphatase 10,Q9Y6W6
von Hippel-Lindau disease tumor suppressor/Methylosome protein WDR77,Q9BQA1|P40337
Cyclin-dependent kinase 2-associated protein 1,O14519
N-myc proto-oncogene protein,P04198
Phosphatidylserine lipase ABHD16A,O95870
TLR2/TLR6,O60603|Q9Y2C9
CDK17/Cyclin-Y,Q00537|Q8ND76
Bone morphogenetic protein 4,P12644
A disintegrin and metalloproteinase with thrombospondin motifs 1,Q9UHI8
Protein phosphatase methylesterase 1,Q9Y570
von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 7,Q9NPI1|P40337
Integrin alpha-V/alpha-5,P06756|P08648
Carbamoyl-phosphate synthase [ammonia], mitochondrial,P31327
Integrin alpha-L/beta-2 (LFA-1),P20701|P05107
Sortilin/Progranulin,Q99523|P28799
CCN2-EGFR,P00533|P29279
Sonic hedgehog protein,Q15465
Chymotrypsin-like elastase family member 1,Q9UNI1
von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase TBK1,Q9UHD2|P40337
Cyclin-dependent kinase 5 activator 1,Q15078
Anthrax toxin receptor 2,P58335
Na(+)/citrate cotransporter,Q86YT5
Cyclin-dependent kinase 4/G1/S-specific cyclin-E1,P11802|P24864
ATP-binding cassette sub-family C member 5,O15440
Signal peptide peptidase-like 2A,Q8TCT8
Threonine--tRNA ligase 1, cytoplasmic,P26639
Golgi-associated PDZ and coiled-coil motif-containing protein,Q9HD26
Glutamine synthetase,P15104
Voltage-gated potassium channel,P51787|Q9UK17|Q12809|P16389|Q09470|O43526|O43525|Q96RP8|Q9NR82|P56696|O95259|P22459|P22460|P22001|P17658|P48547|Q9NZV8|Q92953|Q03721|Q14003|Q14721|Q16322|Q6PIU1|Q8NCM2|Q8TAE7|Q8TDN1|Q8TDN2|Q96KK3|Q96L42|Q96PR1|Q9BQ31|Q9H252|Q9H3M0|Q9NS40|Q9NSA2|Q9UIX4|Q9UJ96|Q9ULD8|Q9ULS6|Q9UQ05
ATP-dependent RNA helicase A,Q08211
Transforming growth factor beta-1 proprotein,P01137
Glutaryl-CoA dehydrogenase, mitochondrial,Q92947
Kinesin-like protein KIF3B,O15066
Lactase/phlorizin hydrolase,P09848
Gap junction beta-2 protein,P29033
Protein cereblon/Bromodomain-containing protein 2,P25440|Q96SW2
Kinesin-like protein KIF22,Q14807
E3 ubiquitin-protein ligase SMURF2,Q9HAU4
Protein odd-skipped-related 1,Q8TAX0
Transforming protein RhoA/Rho-related GTP-binding protein RhoC,P61586|P08134
Sialin,Q9NRA2
Carbonic anhydrase V,Q9Y2D0|P35218
BCL2/BCL2L11,P10415|O43521
Nuclear receptor subfamily 4 group A member 2/Retinoic acid receptor RXR-alpha,P19793|P43354
Calcium and integrin-binding protein 1,Q99828
Piezo-type mechanosensitive ion channel component 1,Q92508
Cytochrome P450 4F3,Q08477
CD44 antigen,P16070
Core-binding factor subunit beta,Q13951
Membrane-bound transcription factor site-1 protease,Q14703
Clathrin heavy chain 1,Q00610
CDK2/Bovine cyclin A,P24941|P30274
Protein cereblon/Bcl-2-like protein 1,Q07817|Q96SW2
Beta-1,4-galactosyltransferase 1,P15291
DNA-PK/Ku70/Ku85,P78527|P12956|P13010
Trypsin-3,P35030
Inhibitor of NF-kappa-B kinase (IKK),O14920|O15111|Q9Y6K9
Voltage-gated potassium channel KCNQ3/KCNQ5,O43525|Q9NR82
Protein cereblon/ALK tyrosine kinase receptor/Nucleophosmin,Q9UM73|P06748|Q96SW2
Short transient receptor potential channel 1 & 3/Stromal interaction molecule 1/Calcium release-activated calcium channel protein 1,Q96D31|Q13507|Q13586|P48995
Bifunctional glutamate/proline--tRNA ligase,P07814
Palmitoyltransferase ZDHHC20,Q5W0Z9
Protein cereblon/Tyrosine-protein phosphatase non-receptor type 1,P18031|Q96SW2
Fibroblast growth factor 23,Q9GZV9
Voltage-dependent calcium channel subunit alpha-2/delta-2,Q9NY47
Vitamin D-binding protein,P02774
Receptor-type tyrosine-protein phosphatase mu,P28827
Guanine nucleotide-binding protein G(o) subunit alpha,P09471
Cytochrome P450 2C18,P33260
von Hippel-Lindau disease tumor suppressor/Estrogen receptor/Cullin-2,P03372|P40337|Q13617
POU domain, class 2, transcription factor 2,P09086
Cyclin-dependent kinase inhibitor 1,P38936
Aurora kinase A/Targeting protein for Xklp2,O14965|Q9ULW0
Protein cereblon/Phospholipid hydroperoxide glutathione peroxidase GPX4,Q96SW2|P36969
Bromodomain adjacent to zinc finger domain protein 1A,Q9NRL2
N6-Methyl-AMP deaminase,Q6DHV7
Protein cereblon/Receptor-type tyrosine-protein kinase FLT3,P36888|Q96SW2
Serine/threonine-protein kinase PINK1, mitochondrial,Q9BXM7
Diamine acetyltransferase 1,P21673
Protein cereblon/Fibroblast growth factor receptor 2,P21802|Q96SW2
Lymphocyte antigen 96,Q9Y6Y9
Guanine nucleotide-binding protein G(i) subunit alpha-3,P08754
Uridine phosphorylase 1,Q16831
Protein cereblon/ALK tyrosine kinase receptor/Echinoderm microtubule-associated protein-like 4,Q9UM73|Q9HC35|Q96SW2
Far upstream element-binding protein 1,Q96AE4
Ryanodine receptor 1,P21817
Fibrinogen beta chain,P02675
Fibronectin receptor (Integrin alpha-5/beta-1 and alpha-V/beta-3),P05106|P05556|P06756|P08648
Biotin--protein ligase,P50747
JAK1/JAK2/TYK2,P23458|O60674|P29597
DNA replication ATP-dependent helicase/nuclease DNA2,P51530
Mucolipin-2,Q8IZK6
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1,P16118
CAAX prenyl protease 1 homolog,O75844
Protein cereblon/GTPase KRas,P01116|Q96SW2
Dynamin-2,P50570
Neuronal acetylcholine receptor; alpha3/alpha6/beta2/beta3,P17787|P32297|Q15825|Q05901
Frizzled-7,O75084
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2,O60825
COP1-AGTL,Q96AD5|Q8NHY2
Atrial natriuretic peptide receptor,P20594|P16066|P17342
Potassium voltage-gated channel subfamily KQT member 5,Q9NR82
GABA A receptor alpha-1/beta-1/gamma-2,P14867|P18507|P18505
Cyclin-dependent kinase,P06493|P11802|P24941|Q00535|Q00534|P50613|Q00526|Q00536|Q07002|P49336|Q00537|P21127|Q96Q40|Q9BWU1|O94921|P50750|Q15131|Q14004|Q8IZL9|Q9NYV4
Interferon alpha/beta receptor 1,P17181
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1/gamma-2,P62873|P59768
Transcription factor Sp1,P08047
von Hippel-Lindau disease tumor suppressor/Indoleamine 2,3-dioxygenase 1,P14902|P40337
CDGSH iron-sulfur domain-containing protein 2,Q8N5K1
Sodium-dependent neutral amino acid transporter B(0)AT2,Q9H2J7
Sulfotransferase 2A1,Q06520
ATP-binding cassette sub-family C member 10,Q5T3U5
von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 9,Q9H8M2|P40337
von Hippel-Lindau disease tumor suppressor/Nicotinamide phosphoribosyltransferase,P43490|P40337
TCF4-CTNNB1 complex,P35222|P15884
Glutathione S-transferase A2,P09210
6-phosphogluconate dehydrogenase, decarboxylating,P52209
Protein cereblon/Glycogen synthase kinase-3 beta,P49841|Q96SW2
Tubulin alpha,P0DPH7|P68366|Q71U36|P68363|Q9BQE3|Q6PEY2|A6NHL2|Q9NY65
UDP-glucuronosyltransferase 2B10,P36537
Somatostatin receptor,P35346|P30874|P31391|P30872|P32745
Protein cereblon/Bromodomain-containing protein 3,Q15059|Q96SW2
YAP1-TEAD4,P46937|Q15561
Glycine receptor subunit alpha-2,P23416
Inward rectifier potassium channel 2,P63252
Integrin alpha-M/beta-2,P05107|P11215
Kallikrein-8,O60259
Ubiquitin carboxyl-terminal hydrolase isozyme L5,Q9Y5K5
Glucokinase/Glucokinase regulatory protein,P35557|Q14397
Kinesin-like protein KIF20A,O95235
Glutamate receptor ionotropic, kainate 5,Q16478
DNA repair protein complementing XP-A cells,P23025
Spindlin-1,Q9Y657
von Hippel-Lindau disease tumor suppressor/Protein arginine N-methyltransferase 5,O14744|P40337
Chymotrypsin-like protease CTRL-1,P40313
Long-chain-fatty-acid--CoA ligase 1,P33121
E3 ubiquitin-protein ligase CBL,P22681
Protein cereblon/NAD-dependent protein deacylase sirtuin-6,Q8N6T7|Q96SW2
Protein mono-ADP-ribosyltransferase PARP16,Q8N5Y8
Microtubule-associated serine/threonine-protein kinase 3,O60307
Lysine-specific demethylase 6A,O15550
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,O60741
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 8,Q9BY41|P40337
NADP-dependent malic enzyme,P48163
High affinity immunoglobulin epsilon receptor subunit alpha,P12319
Sodium channel protein type 1 subunit alpha/beta-1/beta-2,P35498|O60939|Q07699
