UniProt,Compounds
Q05586|Q12879|Q13224,2
Q05707,1
Q06187|Q13490,1
Q06203,1
Q07020,1
Q07021,1
Q07699,2
Q08378,1
Q08379,1
Q09328,1
Q10981,2
Q12767,1
Q12788,1
Q12860,1
Q12873,1
Q12907,1
Q13009,2
Q13042,1
Q13064,1
Q13098,1
Q13133|P40337,2
Q13137,1
Q13177|Q96SW2,1
Q13283,1
Q13404,1
Q13442,1
Q13444,2
Q13489|Q13490,2
Q13490|P37840,2
Q13490|P42858,2
Q13492,1
Q13501|Q9BXW4,2
Q13501|Q9GZQ8,2
Q13501|Q9H492,2
Q13505,1
Q13547|Q9BY41,2
Q13596,1
Q13617,1
Q13765,1
Q13885,2
Q13895,1
Q14094,1
Q14139,1
Q14141,1
Q14166,1
Q14188,1
Q14203,1
Q14232,1
Q14244,1
Q14353,1
Q14469,2
Q14554,1
Q14657,1
Q14671,1
Q14677,1
Q14684,1
Q14699,1
Q14722,1
Q14728,1
Q14738,1
Q14746,1
Q14914,2
Q14964,1
Q14994|P40337,2
Q14997,1
Q15003,1
Q15006,1
Q15008,1
Q15019,1
Q15020,1
Q15021,1
Q15050,1
Q15054,1
Q15070,1
Q15075,1
Q15116|Q9BQ51,1
Q15286,1
Q15293,1
Q15363,1
Q15370,1
Q15404,1
Q15435,1
Q15573,1
Q15629,1
Q15691,1
Q15759|Q16539,1
Q15760,2
Q15800,1
Q16206,1
Q16236|O15525,2
Q16401,1
Q16527,2
Q16538,2
Q16548|Q9BXH1,1
Q16621,2
Q16643,1
Q16836,1
Q16851,1
Q1MSJ5,1
Q27J81,1
Q2M389,1
Q3LXA3,1
Q3YEC7,1
Q3ZAQ7,1
Q3ZCM7,1
Q4G0F5,1
Q53R41,1
Q56VL3,1
Q5BJD5,1
Q5C9Z4,1
Q5JRS4,1
Q5JSL3,1
Q5JTH9,1
Q5JTV8,1
Q5SRE5,1
Q5SW79,1
Q5T160,1
Q5T1V6,2
Q5T280,1
Q5T6X5,2
Q5T7B8,1
Q5T848,2
Q5T8P6,1
Q5TGZ0,2
Q5TZA2,1
Q5U3C3,1
Q5UAW9,2
Q5VW32,1
Q5VWZ2,2
Q5XKP0,1
Q63HK3,1
Q68DL7,1
Q6AI08,1
Q6DD87,1
Q6IBS0,1
Q6IN84,1
Q6IN85,1
Q6JBY9,1
Q6NV75,2
Q6NXR4,1
Q6NXT1,1
Q6NXT4,1
Q6NZY4,1
Q6P1A2,1
Q6PGP7,1
Q6PJG2,1
Q6PKC3,2
Q6QNK2,2
Q6U736,2
Q6UW68,1
Q6Y1H2,1
Q6YN16,1
Q6ZMG9,2
Q6ZNB6,1
Q6ZNC8,1
Q6ZNE5,2
Q6ZR08,1
Q7KZN9,1
Q7L0J3,2
Q7L5N1,1
Q7L7V1,2
Q7L8L6,1
Q7Z2K6,1
Q7Z2T5,1
Q7Z2W9,1
Q7Z5L9,1
Q7Z602,2
Q7Z6K3,1
Q7Z7M1,2
Q86SM5,2
Q86SM8,2
Q86SP6,2
Q86SQ4,2
Q86SQ6,2
Q86UY5,1
Q86V85,1
